Dog_Number,Microchip_Flag,Microchip_Brand,Offence_Free_Flag,Active_Dog_Record
228036,Y,MICROCHIP,Y,N
238390,Y,MICROCHIP,U,N
234908,Y,MICROCHIP,Y,N
225145,Y,MICROCHIP,Y,N
238342,Y,MICROCHIP,U,N
229688,Y,MICROCHIP,Y,N
233924,Y,MICROCHIP,N,N
225141,Y,MICROCHIP,Y,N
225142,Y,MICROCHIP,Y,N
234714,Y,MICROCHIP,Y,N
236821,Y,MICROCHIP,U,N
231933,Y,MICROCHIP,Y,N
210238,Y,MICROCHIP,Y,N
236528,N,,Y,N
220453,Y,MICROCHIP,Y,N
228132,Y,MICROCHIP,Y,N
237273,Y,MICROCHIP,U,N
234327,Y,MICROCHIP,Y,N
228726,Y,MICROCHIP,Y,N
221166,Y,MICROCHIP,Y,N
147763,Y,MICROCHIP,Y,N
237780,Y,MICROCHIP,U,N
235869,Y,MICROCHIP,Y,N
233432,Y,MICROCHIP,Y,N
238218,Y,MICROCHIP,U,N
221791,Y,MICROCHIP,N,N
237983,Y,MICROCHIP,U,N
236365,Y,MICROCHIP,Y,N
225327,Y,MICROCHIP,Y,N
222060,Y,MICROCHIP,Y,N
236050,Y,MICROCHIP,Y,N
231166,Y,MICROCHIP,Y,N
230052,Y,MICROCHIP,N,N
229813,Y,MICROCHIP,Y,N
223034,Y,MICROCHIP,Y,N
237726,Y,MICROCHIP,U,N
229043,Y,MICROCHIP,Y,N
236949,Y,MICROCHIP,U,N
237837,Y,MICROCHIP,U,N
237693,Y,MICROCHIP,U,N
237624,Y,MICROCHIP,U,N
237493,Y,MICROCHIP,U,N
236461,N,,Y,N
236107,Y,MICROCHIP,U,N
237337,Y,MICROCHIP,U,N
237533,Y,MICROCHIP,U,N
233056,Y,MICROCHIP,N,N
235977,Y,MICROCHIP,U,N
237438,Y,MICROCHIP,U,N
237099,Y,MICROCHIP,U,N
237068,Y,MICROCHIP,U,N
225708,Y,MICROCHIP,Y,N
237205,N,,U,N
173246,Y,MICROCHIP,U,N
237664,Y,MICROCHIP,U,N
237658,Y,MICROCHIP,U,N
237743,Y,MICROCHIP,U,N
232121,Y,MICROCHIP,Y,N
229326,Y,MICROCHIP,Y,N
230275,Y,MICROCHIP,Y,N
237580,Y,MICROCHIP,U,N
225457,Y,MICROCHIP,Y,N
224200,Y,MICROCHIP,Y,N
219041,Y,MICROCHIP,Y,N
203854,Y,MICROCHIP,Y,N
169626,Y,MICROCHIP,Y,N
161865,Y,MICROCHIP,Y,N
105406,N,,Y,N
237512,Y,MICROCHIP,U,N
238151,Y,MICROCHIP,U,N
237491,Y,MICROCHIP,U,N
237492,Y,MICROCHIP,U,N
234580,Y,MICROCHIP,Y,N
225606,Y,MICROCHIP,Y,N
219696,Y,MICROCHIP,Y,N
237739,Y,MICROCHIP,U,N
227932,Y,MICROCHIP,N,N
237523,Y,MICROCHIP,U,N
176551,Y,MICROCHIP,Y,N
238186,Y,MICROCHIP,U,N
237662,Y,MICROCHIP,U,N
237660,Y,MICROCHIP,U,N
237070,Y,MICROCHIP,U,N
237071,Y,MICROCHIP,U,N
232995,Y,MICROCHIP,U,N
237893,Y,MICROCHIP,U,N
237937,Y,MICROCHIP,U,N
237897,Y,MICROCHIP,U,N
238027,Y,MICROCHIP,U,N
237930,Y,MICROCHIP,U,N
236721,Y,MICROCHIP,U,N
236801,Y,MICROCHIP,U,N
235364,Y,MICROCHIP,Y,N
233675,Y,MICROCHIP,Y,N
237938,Y,MICROCHIP,U,N
229527,Y,MICROCHIP,Y,N
229401,Y,MICROCHIP,Y,N
226456,Y,MICROCHIP,Y,N
235927,Y,MICROCHIP,Y,N
237598,Y,MICROCHIP,U,N
236826,Y,MICROCHIP,U,N
237303,Y,MICROCHIP,U,N
238038,Y,MICROCHIP,U,N
238034,Y,MICROCHIP,U,N
238067,Y,MICROCHIP,U,N
235623,Y,MICROCHIP,Y,N
238060,Y,MICROCHIP,U,N
234124,Y,MICROCHIP,N,N
237341,Y,MICROCHIP,U,N
125678,Y,MICROCHIP,Y,N
237774,Y,MICROCHIP,U,N
237778,Y,MICROCHIP,U,N
237486,N,,U,N
237653,Y,MICROCHIP,U,N
234073,Y,MICROCHIP,Y,N
224154,Y,MICROCHIP,Y,N
237594,Y,MICROCHIP,U,N
237041,Y,MICROCHIP,U,N
232171,Y,MICROCHIP,Y,N
231632,Y,MICROCHIP,N,N
231262,Y,MICROCHIP,Y,N
229885,Y,MICROCHIP,Y,N
225154,Y,MICROCHIP,Y,N
237401,Y,MICROCHIP,U,N
235778,Y,MICROCHIP,Y,N
237267,N,,U,N
237804,Y,MICROCHIP,U,N
237798,Y,MICROCHIP,U,N
237764,Y,MICROCHIP,U,N
237648,Y,MICROCHIP,U,N
237744,N,,U,N
237678,Y,MICROCHIP,U,N
235233,Y,MICROCHIP,N,N
236749,N,,U,N
237946,Y,MICROCHIP,U,N
237941,Y,MICROCHIP,U,N
237082,Y,MICROCHIP,U,N
228842,Y,MICROCHIP,Y,N
235106,Y,MICROCHIP,N,N
227274,Y,MICROCHIP,Y,N
228685,Y,MICROCHIP,Y,N
203024,Y,MICROCHIP,Y,N
217261,Y,MICROCHIP,Y,N
235100,Y,MICROCHIP,Y,N
234514,Y,MICROCHIP,Y,N
234346,Y,MICROCHIP,Y,N
234623,Y,MICROCHIP,Y,N
233654,Y,MICROCHIP,Y,N
233287,Y,MICROCHIP,Y,N
232955,Y,MICROCHIP,Y,N
231571,Y,MICROCHIP,Y,N
230547,Y,MICROCHIP,Y,N
191284,Y,MICROCHIP,Y,N
127223,Y,MICROCHIP,Y,N
184059,Y,MICROCHIP,Y,N
237991,Y,MICROCHIP,U,N
236133,Y,MICROCHIP,Y,N
235604,Y,MICROCHIP,Y,N
236533,Y,MICROCHIP,Y,N
233776,Y,MICROCHIP,Y,N
223655,Y,MICROCHIP,U,N
227314,N,,N,N
231323,Y,MICROCHIP,Y,N
