Dog_Number,Total_Complains,hash_binary
15499,2,EC7874FCB5584BBD937EA39C3F8B3A1BB592563054D2AB5D41CE3C9FDA839168
474,4,D4AA65517000A8D7B0766772383F0B531976D7F75875120C452A37805059AE4D
6862,1,F6DAF27F5C3A19D30B543EB56ED34E38A237EBA6A7E76C7DF0FC5415723F64B1
7837,2,1CD0AD77C2C2B49374CC1590905B692EBC5E4C95B3449C174F0AAC0CE51F7C5B
4137,1,5AE385D78133644BA0D736760B11C6208B79715C8DCCF929F706CFD0E4134001
6341,2,01BA794C310D81D5CF773AB43AE88331BF4C9479A41713CDC52707B4C8869017
1362,2,19AD3F686F22FBA237E9DE37A9FF6AC5D490DA54BAD2A079969F49F0FA0BAB1C
640,1,8B6E91B28809EE20AC9598C46B84607171E4611A18DAD020FBEE2E10AF0CB6D0
5675,8,7369F780B26A3FC78D1B14D6FEBE8D8F867704EC3D2973C3F757716C943904EC
4634,1,BA7F8A1A621310EC1B7B0D1054B04AE6800CEC59CC3D2316A45BC5221E4FF41C
3996,7,F99AA6951481687FEFD2C665A04F2883ECA5E3AD75B169CB16674A5432787027
7845,1,AAA06B6870964C326039B503263F0F4525E99B778614252BE1C3B01F642EB730
6583,1,3C5623DF8BEE38AAD3AFFE527670863292CB7D2D82B3653D6D8BDD87252F94E9
6238,1,86F2D9175DC389B25CF8AA78180388204782D163D42639720F9A12903EFD9E8B
2845,1,174FBE7EAAAE3BCEAE2A639A303CAD80C259448969D07E73AA1F45E0C6C81683
4313,1,EA49AE872AF6D08367614D57C9F1AD94E0E61B48420183BCE67455763FEDFDDB
1267,4,E1E8B5366521C1F83BCCF5AD7CBFC9945AAF51D2B1EA8A3154DD71B8127AA85B
4349,3,9FF342741E24EE7025E9E4A758ED3EB408618A2676D781C788B7067385BEBC73
4546,2,30857AD4728479B55C716BEAC6A99B775A456AA5AE6EF55735369C4AF8144708
7059,4,AB40DBFF21546453D5419E00E3CFA1D1ABAC35C06D1DF59EE2FA82555E7462C1
6285,3,21C99824F7DE14D07E43FF64159A4B20744BF90A95B6B0487AEDE4B0D58D08AB
1641,1,AA34496B1E065859E8A69A79DF021C2079642D33E1BA282B9339E3E86296C372
1603,1,7D1DDAC14CFD10C7EE9836EB92CA849D866610EF1390ABB33CA62F1E17AA82E7
1515,4,7622CEE748B3F7383806D70319C94862E41B736F05886000ECB4DBE3DC1DF043
3887,1,CF10550DA84A1FFEB993811BF19D4F530317FC5B506240E6CF4E6CB7EF423071
7911,1,3B3B845AB57BAB4497A09D03C6CA960EE260BD44E714EDD311ED3CBF0F7D079C
4250,1,4DAF64D9C55344612FD532C5593365271E550EC99F8DEB49710B2DD6D38E3D3C
7290,1,25800807270801A206023F5574AAE66525EE7886C219934A320BD44524DB01C3
1182,1,377B257C7E355546A894C5EAD79937594D3F87FA586AC78F5477600910A4EC50
7409,2,5B50BA1EB84A4E6523EA0B3F67F017E9DEC0FB8F885DA235EFAD220CA99E53B3
6036,5,6BF5D1C4B62D0AC7B007319779CECD873DDB6211A69B40545A7DB0113F6BD739
3708,4,DBF78044E15E11B2CD2FC4EEA1639384572C0F8FBE173C8B0FBE48D3A0ED4814
7964,1,32A125CD0345775A20FA756E3D064A8EFD863FC9174A2CC4CB2F55B237B0D78B
4031,1,6B04EBEB02F82930CDF5E8CC1B52C1B3848C2AFE7C94592DDB9F9C046F997854
7962,3,AF48C8B974B9DD39F7C83E3B6129ED88269D221C9797A728BA5545C2AF54E50F
4511,1,9E143C43DE9F7AD2D87A3FF9FFE186EF76B08507A28A3E8D62D36663A61CFDAC
7803,2,173C533FC0E5904EC0FAC66C5CA4454226D5088CE3AB73621470DDB301AD3B8E
7274,1,A1CBD147474C2B46923E237A84C9FF1E0E0BB7A5C7E1929125747DAD3C160478
4655,2,6095BED68FFEE78558BD962D76BE2B8F66D8C1EF256674066E74C383D52DBC19
