Dog_Number,Primary_Colour_Code,Secondary_Colour_Code,Age,Animal_Sex,Desexed,Worker,Classification,Microchip_Flag,Total_Complains
151010,DARK,DARK,0,F,Y,N,0,Y,0
173567,DARK,LIGHT,0,M,N,N,0,Y,0
192345,LIGHT,LIGHT,0,F,N,N,0,N,0
193685,LIGHT,LIGHT,0,M,N,N,0,Y,0
218377,LIGHT,DARK,0,M,Y,N,0,Y,0
222071,DARK,LIGHT,0,F,Y,N,0,Y,0
223603,LIGHT,LIGHT,0,F,N,N,0,Y,0
234035,DARK,DARK,0,M,N,N,0,Y,0
234169,LIGHT,LIGHT,0,M,N,N,0,Y,0
234737,DARK,LIGHT,0,F,N,N,0,Y,0
235290,DARK,LIGHT,0,F,N,N,0,Y,0
235610,DARK,LIGHT,0,M,Y,N,0,Y,0
235789,LIGHT,LIGHT,0,F,N,N,0,Y,0
236387,LIGHT,LIGHT,0,M,N,N,0,Y,0
237924,LIGHT,LIGHT,0,F,N,N,0,N,0
41157,LIGHT,LIGHT,0,F,N,N,0,N,0
93545,DARK,DARK,0,M,N,N,0,N,0
100576,DARK,LIGHT,0,F,N,N,0,N,0
101167,DARK,DARK,0,F,N,N,0,Y,0
124353,DARK,LIGHT,0,M,N,N,0,Y,0
149104,DARK,LIGHT,0,F,N,N,0,Y,0
151093,DARK,DARK,0,M,N,N,0,Y,0
193746,DARK,DARK,0,M,N,N,0,Y,0
220363,LIGHT,DARK,0,M,N,N,0,Y,0
221970,LIGHT,LIGHT,0,F,N,N,0,Y,0
223779,DARK,LIGHT,0,F,N,N,0,N,0
226851,DARK,LIGHT,0,F,Y,N,0,Y,0
226976,DARK,LIGHT,0,M,Y,N,0,Y,0
234603,DARK,DARK,0,M,N,N,0,N,0
235045,DARK,LIGHT,0,F,Y,N,0,Y,0
235230,DARK,DARK,0,M,Y,N,0,Y,0
235734,LIGHT,LIGHT,0,M,N,N,0,Y,0
236175,DARK,LIGHT,0,M,Y,N,0,Y,0
236414,LIGHT,LIGHT,0,M,N,N,0,Y,0
40866,DARK,DARK,0,M,N,N,0,N,0
41983,DARK,DARK,0,M,N,N,0,N,0
44603,DARK,DARK,0,F,N,N,0,N,0
139131,LIGHT,LIGHT,0,F,N,N,0,Y,0
180774,LIGHT,LIGHT,0,F,N,N,0,Y,0
199354,LIGHT,LIGHT,0,M,N,N,0,N,0
223413,DARK,DARK,0,M,N,N,0,Y,0
223497,DARK,DARK,0,M,N,N,0,Y,0
227018,DARK,DARK,0,F,N,N,0,Y,0
235220,DARK,DARK,0,M,N,N,0,Y,0
235513,DARK,LIGHT,0,F,N,N,0,Y,0
235764,LIGHT,LIGHT,0,M,N,N,0,Y,0
236105,DARK,DARK,0,M,Y,N,0,Y,0
236192,LIGHT,LIGHT,0,M,N,N,0,Y,0
236942,DARK,DARK,0,F,N,N,0,Y,0
237946,LIGHT,DARK,0,F,Y,N,0,Y,0
82335,LIGHT,DARK,0,F,N,N,0,N,0
114998,DARK,LIGHT,0,M,N,N,0,N,0
141922,DARK,LIGHT,0,M,N,N,0,N,0
149106,LIGHT,LIGHT,0,F,N,N,0,Y,0
18637,DARK,DARK,0,M,N,N,0,N,0
189331,DARK,DARK,0,M,N,N,0,Y,0
222122,DARK,DARK,0,F,N,N,0,Y,0
232677,DARK,DARK,0,F,N,N,0,N,0
233677,LIGHT,LIGHT,0,M,N,N,0,N,0
235143,DARK,DARK,0,M,Y,N,0,Y,0
235554,LIGHT,LIGHT,0,M,N,N,0,Y,0
12860,DARK,DARK,0,M,N,N,0,N,0
214485,DARK,LIGHT,0,F,Y,N,0,Y,0
226965,DARK,DARK,0,M,Y,N,0,Y,0
226990,DARK,DARK,0,M,N,N,0,N,0
227206,LIGHT,DARK,0,M,N,N,0,N,0
234268,DARK,LIGHT,0,F,Y,N,0,Y,0
234945,DARK,LIGHT,0,F,N,N,0,Y,0
235511,DARK,LIGHT,0,F,N,N,0,Y,0
235882,DARK,DARK,0,F,N,N,0,Y,0
236124,DARK,DARK,0,M,N,N,0,Y,0
236186,LIGHT,LIGHT,0,M,N,N,0,Y,0
236608,LIGHT,LIGHT,0,F,Y,N,0,Y,0
236844,LIGHT,LIGHT,0,F,Y,N,0,Y,0
237734,DARK,DARK,0,F,Y,N,0,Y,0
83513,DARK,LIGHT,0,M,N,N,0,N,0
91434,DARK,DARK,0,F,N,N,0,N,0
224251,LIGHT,LIGHT,0,M,N,N,0,N,0
226598,DARK,LIGHT,0,F,N,N,0,Y,0
227757,DARK,DARK,0,F,N,N,0,Y,0
228771,DARK,LIGHT,0,M,N,N,0,Y,0
228779,LIGHT,LIGHT,0,F,Y,N,0,Y,0
230939,DARK,LIGHT,0,F,N,N,0,N,0
234094,DARK,DARK,0,M,N,N,0,Y,0
234359,DARK,LIGHT,0,M,Y,N,0,Y,0
234607,LIGHT,LIGHT,0,F,N,N,0,Y,0
234726,DARK,DARK,0,M,N,N,0,Y,0
235492,DARK,LIGHT,0,M,Y,N,0,Y,0
235619,LIGHT,DARK,0,M,N,N,0,Y,0
236263,DARK,DARK,0,M,N,N,0,Y,0
236905,LIGHT,LIGHT,0,M,N,N,0,Y,0
96013,DARK,DARK,0,F,N,N,0,N,0
138711,DARK,LIGHT,0,M,N,N,0,N,0
148527,LIGHT,DARK,0,F,Y,N,0,N,0
203910,LIGHT,LIGHT,0,F,Y,N,0,N,0
205694,DARK,LIGHT,0,F,Y,N,0,Y,0
227011,DARK,LIGHT,0,M,N,N,0,N,0
229854,LIGHT,LIGHT,0,F,N,N,0,Y,0
234446,LIGHT,LIGHT,0,F,N,N,0,Y,0
234936,LIGHT,LIGHT,0,F,N,N,0,Y,0
235601,DARK,LIGHT,0,M,Y,N,0,Y,0
236053,DARK,LIGHT,0,F,N,N,0,Y,0
236195,LIGHT,LIGHT,0,M,N,N,0,Y,0
236944,DARK,DARK,0,M,N,N,0,Y,0
237624,LIGHT,LIGHT,0,F,Y,N,0,Y,0
237727,LIGHT,LIGHT,0,M,Y,N,0,Y,0
27398,DARK,DARK,0,F,N,N,0,N,0
44387,DARK,LIGHT,0,F,N,N,0,N,0
96662,LIGHT,DARK,0,M,Y,N,0,N,0
100192,DARK,LIGHT,0,F,N,N,0,N,0
149343,DARK,LIGHT,0,M,N,N,0,N,0
157477,LIGHT,DARK,0,M,Y,N,0,Y,0
184503,DARK,LIGHT,0,M,N,N,0,Y,0
189308,LIGHT,LIGHT,0,M,N,N,0,Y,0
189465,DARK,DARK,0,M,N,N,0,Y,0
206453,LIGHT,LIGHT,0,M,N,N,0,Y,0
210652,DARK,LIGHT,0,M,N,N,0,Y,0
222477,DARK,DARK,0,M,Y,N,0,Y,0
225580,LIGHT,LIGHT,0,M,N,N,0,N,0
226750,DARK,DARK,0,F,N,N,0,N,0
231317,LIGHT,LIGHT,0,F,N,N,0,Y,0
234668,DARK,DARK,0,M,N,N,0,Y,0
235845,DARK,LIGHT,0,F,Y,N,0,Y,0
237252,LIGHT,DARK,0,M,Y,N,0,Y,0
147183,DARK,LIGHT,0,F,Y,N,0,Y,0
18059,LIGHT,LIGHT,0,F,N,N,0,N,0
221233,DARK,LIGHT,0,M,N,N,0,N,0
222710,LIGHT,LIGHT,0,M,N,N,0,Y,0
224265,DARK,DARK,0,F,Y,N,0,Y,0
229214,DARK,DARK,0,M,N,N,0,Y,0
233685,LIGHT,LIGHT,0,M,N,N,0,Y,0
235427,DARK,DARK,0,F,N,N,0,Y,0
235488,DARK,LIGHT,0,F,Y,N,0,Y,0
236225,LIGHT,LIGHT,0,F,N,N,0,Y,0
236292,DARK,DARK,0,M,N,N,0,Y,0
238386,LIGHT,LIGHT,0,F,N,N,0,Y,0
27358,DARK,DARK,0,F,N,N,0,N,0
96562,DARK,LIGHT,0,F,N,N,0,N,0
12778,LIGHT,LIGHT,0,M,N,N,0,N,0
190364,LIGHT,LIGHT,0,F,N,N,0,Y,0
214602,DARK,LIGHT,0,M,Y,N,0,Y,0
226665,DARK,DARK,0,M,N,N,0,Y,0
226804,DARK,DARK,0,M,N,N,0,Y,0
227231,DARK,DARK,0,M,N,N,0,Y,0
22821,DARK,DARK,0,M,N,N,0,N,0
228919,LIGHT,LIGHT,0,F,N,N,0,Y,0
231263,DARK,DARK,0,M,Y,N,0,Y,0
235771,LIGHT,DARK,0,M,N,N,0,Y,0
235776,LIGHT,LIGHT,0,M,N,N,0,Y,0
235944,LIGHT,DARK,0,F,N,N,0,Y,0
236006,LIGHT,DARK,0,M,N,N,0,Y,0
236476,DARK,DARK,0,F,N,N,0,N,0
236792,LIGHT,LIGHT,0,F,Y,N,0,Y,0
237143,DARK,DARK,0,F,N,N,0,Y,0
78779,DARK,LIGHT,0,F,N,N,0,N,0
101127,DARK,LIGHT,0,M,Y,N,0,Y,0
116230,DARK,DARK,0,M,N,N,0,N,0
130272,DARK,LIGHT,0,M,N,N,0,N,0
150971,LIGHT,LIGHT,0,F,N,N,0,N,0
163549,DARK,LIGHT,0,M,N,N,0,Y,0
168386,LIGHT,DARK,0,M,N,N,0,N,0
18514,DARK,DARK,0,M,N,N,0,N,0
18695,DARK,DARK,0,M,N,N,0,N,0
209069,DARK,DARK,0,M,N,N,0,Y,0
221573,LIGHT,LIGHT,0,M,N,N,0,Y,0
222140,LIGHT,LIGHT,0,F,Y,N,0,Y,0
225008,LIGHT,LIGHT,0,M,Y,N,0,Y,0
230028,LIGHT,LIGHT,0,F,Y,N,0,Y,0
